betty blowtorch	2137	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
die Ärzte	1342	0	4	0 0 0 0 0 2 2	0 0 4 0 0 0 0 0
melissa etheridge	897	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
elvenking	717	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
juliette & the licks	745	0	2	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
red hot chili peppers	4979	11	9	0 0 0 0 1 12 5	0 0 14 1 0 1 4 1
magica	545	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the black dahlia murder	1498	3	1	0 0 0 0 1 1 2	0 0 3 0 0 0 1 0
the murmurs	600	0	1	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
lunachicks	403	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
walls of jericho	623	2	1	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
letzte instanz	467	1	2	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
goldfrapp	751	4	2	0 0 0 0 0 2 3	0 0 5 0 0 0 1 0
horrorpops	358	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the butchies	329	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
jack off jill	316	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
babes in toyland	310	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
dropkick murphys	2429	4	1	0 0 0 0 0 1 3	0 0 4 0 0 0 1 0
all:my:faults	288	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
le tigre	873	1	2	0 0 0 0 0 1 2	0 0 2 0 0 0 1 0
schandmaul	594	1	1	0 0 0 0 0 0 2	0 0 2 0 0 0 0 0
edguy	1365	3	1	0 0 0 0 0 0 4	0 0 4 0 0 0 0 0
maximum the hormone	231	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
all ends	466	1	2	0 0 0 0 0 0 2	0 0 3 0 0 0 0 0
jack johnson	2681	5	4	0 0 0 0 1 3 4	0 1 5 0 0 0 3 1
eluveitie	768	3	2	0 0 0 0 1 2 2	0 0 5 0 0 0 0 0
rasputina	220	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
london after midnight	210	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the killers	1986	11	4	0 0 0 0 1 10 2	0 1 11 0 0 0 3 0
mutyumu	205	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
judas priest	2308	4	2	0 0 0 0 1 2 3	0 0 4 0 0 0 2 0
rob zombie	213	1	1	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
the bosshoss	189	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
blue Öyster cult	378	2	2	0 0 0 0 0 1 3	0 0 3 0 0 0 1 0
sandra nasic	183	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
john mayer	842	3	2	0 0 0 0 0 0 5	0 0 3 0 0 0 2 0
sleater-kinney	175	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the who	1370	5	5	0 0 0 0 2 2 7	1 1 4 0 0 0 4 1
disciple	158	1	1	0 0 0 0 0 0 1	0 0 2 0 0 0 0 0
tanzwut	160	1	1	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
guano apes	151	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the rolling stones	4032	14	5	0 0 1 11 2 2 2	0 1 10 3 0 1 5 0
little big town	145	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
team dresch	137	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
betty	135	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
l7	135	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
bif naked	212	1	1	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
girlschool	134	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the wallflowers	131	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the most serene republic	12763	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
stars	9804	2	4	0 0 0 0 1 1 4	0 0 1 1 0 0 5 0
broken social scene	8411	6	3	0 0 0 0 0 2 7	0 0 2 1 0 0 7 0
have heart	5361	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
luminous orange	5294	1	1	0 0 0 0 0 0 1	0 0 0 0 0 0 2 0
boris	5340	2	1	0 0 0 0 0 1 1	0 1 1 0 0 0 1 0
arctic monkeys	11683	7	7	0 0 0 0 2 3 7	0 2 10 0 0 0 1 1
bright eyes	7373	6	1	0 0 0 0 1 2 4	0 0 3 0 0 0 5 0
coaltar of the deepers	4143	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
polar bear club	4091	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
the libertines	5824	3	4	0 0 0 0 1 2 2	0 1 5 0 0 0 1 0
death from above 1979	3644	3	1	0 0 0 0 0 1 2	0 0 2 0 0 0 2 0
owl city	3753	2	1	0 0 0 0 0 0 2	0 0 1 0 0 0 2 0
coldplay	12709	25	10	0 0 0 1 10 17 3	0 0 24 1 0 1 10 2
